source_system,source_field,canonical_element,role,code_system,code,note
assignment_csv,bag_mask_ventilation_competency,governance_bagmask_competency,observation,,,
assignment_csv,thermal_care_protocol_compliance,governance_thermal_compliance,observation,,,
assignment_csv,infection_prevention_score,governance_ipc_score,observation,,,
assignment_csv,total_nurses,staff_nurses_total,observation,,,
assignment_csv,neonatal_trained_nurses,staff_nurses_neonatal,observation,,,"36 of 48 have last_neonatal_training_date='Never' yet report trained nurses."
assignment_csv,midwives,staff_midwives,observation,,,
assignment_csv,obstetricians,staff_obstetricians,observation,,,"29 of 45 Health Centers report an obstetrician on staff."
assignment_csv,pediatricians,staff_pediatricians,observation,,,
assignment_csv,neonatologists,staff_neonatologists,observation,,,
assignment_csv,anesthetists,staff_anesthetists,observation,,,
assignment_csv,last_neonatal_training_date,staff_last_training,observation,,,
assignment_csv,staff_per_delivery_2024,,unmapped,,,"Named as derived but unreconstructable: best of 8 formulas matched 58.1%, worse than the column's own mode at 65.8%. Only 3 distinct values, correlates positively with volume."
assignment_csv,night_shift_coverage,staff_night_coverage,observation,,,"Blank for 63 of 117 facilities. Only Full and Partial are ever recorded; there is no value meaning none, so a blank is unreported, not uncovered."
assignment_csv,avg_referral_time_hrs,ops_referral_time_hrs,observation,,,"Self-reported. r=+0.125 against NMR."
assignment_csv,referrals_out_monthly,ops_referrals_out,observation,,,"Aggregate outbound exceeds inbound by 74% across a closed network."
assignment_csv,referrals_in_monthly,ops_referrals_in,observation,,,
assignment_csv,oxygen_cylinders_available,ops_oxygen_cylinders,observation,,,
assignment_csv,oxygen_concentrators,ops_oxygen_concentrators,observation,,,
assignment_csv,oxygen_plant,ops_oxygen_plant,observation,,,
assignment_csv,ambulance_available,ops_ambulance,observation,,,
assignment_csv,kangaroo_care_practiced,ops_kangaroo_practiced,observation,,,
assignment_csv,essential_drugs_stockouts_days,ops_stockout_days,observation,,,"11 of 117 exceed 31, the maximum days in any calendar month."
assignment_csv,antibiotics_available,ops_antibiotics,observation,,,
assignment_csv,surfactant_available,ops_surfactant,observation,,,
assignment_csv,referral_feedback_rate,ops_referral_feedback_rate,observation,,,
dhis2,orgUnit,org_unit,identity,,,"DHIS2 organisation unit UID. Second source proving the crosswalk."
dhis2,period,period,dimension,,,"DHIS2 ISO period, YYYYMM. Normalised to YYYY-MM."
dhis2,TOTAL_DELIVERIES,deliveries_total,observation,,,"Same canonical element as assignment_csv.total_deliveries."
dhis2,LIVE_BIRTHS,live_births,observation,,,"Same canonical element as assignment_csv.live_births."
dhis2,NND_EARLY,neonatal_deaths_early,observation,ICD-10,P00-P96,"Same canonical element as assignment_csv.neonatal_deaths_0_7d."
